rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Mystherbe;Oddish;Pokémon;Grass;43;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169559.jpg;ecard3
2;2;Common;;Ortide;Gloom;Pokémon;Grass;44;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169535.jpg;ecard3
3;3;Rare;;Rafflésia;Vileplume;Pokémon;Grass;45;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169595.jpg;ecard3
4;4;Rare Holo;;Rafflésia;Vileplume;Pokémon;Grass;45;Kyoko Umemoto;https://res.cloudinary.com/dkhwpritu/image/upload/v1587369248/modifs/Capture_d_e%CC%81cran_2020-04-19_a%CC%80_23.17.33.png;ecard3
5;5;Common;;Paras;Paras;Pokémon;Grass;46;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169561.jpg;ecard3
6;6;Uncommon;;Parasect;Parasect;Pokémon;Grass;47;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169562.jpg;ecard3
7;7;Common;;Chétiflor;Bellsprout;Pokémon;Grass;69;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169515.jpg;ecard3
8;8;Common;;Chétiflor;Bellsprout;Pokémon;Grass;69;Keiko Fukuyama;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169516.jpg;ecard3
9;9;Common;;Boustiflor;Weepinbell;Pokémon;Grass;70;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169599.jpg;ecard3
10;10;Rare;;Empiflor;Victreebel;Pokémon;Grass;71;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169593.jpg;ecard3
11;11;Rare Holo;;Empiflor;Victreebel;Pokémon;Grass;71;Miki Tanaka;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/d50aac80d99111e596a2973dca23316e/011.jpg;ecard3
